Name,Contact_Number,Gender,Age ,10th_percentage,Tenthth_Board,12th_percentage,12th_board,12th_field,Degree_Field,Degree_Percentage,History_Of_Backlogs,English_Test_Percentage,Department_Applied_To,MBA_Grade,Work_Experience,Salary_expectations_per_month
DUKE,7403436348,M,21,53,Central,96,Central,Commerce,Commerce,70,0,43,Mkt&Fin,,0,1
ODONNELL,8200214459,M,24,68,Central,86,Central,Commerce,MBA,70,0,90,Mkt&Fin,89,0,3
GUY,8962172805,M,26,55,Central,60,Central,Commerce,MBA,70,1,74,Mkt&Fin,40,1,2
MICHAEL,7593502588,M,21,87,Central,21,Central,Commerce,Commerce,70,0,73,Mkt&Fin,,0,1
BRITT,9563102641,M,26,55,Central,83,Central,Commerce,MBA,80,1,55,Mkt&Fin,49,1,2
FREDERICK,9484389483,M,24,53,Central,87,Central,Commerce,MBA,60,0,65,Mkt&Fin,57,0,3
DAUGHERTY,6393549060,M,21,67,Others,25,Others,Commerce,Commerce,70,1,80,Mkt&Fin,,0,4
BERGER,9515271939,M,22,92,Others,35,Others,Commerce,Commerce,60,0,50,Mkt&Fin, ,1,4
DILLARD,8368041945,M,26,53,Others,20,Others,Commerce,MBA,70,0,63,Mkt&Fin,37,1,3
ALSTON,7890666406,M,23,81,Others,86,Others,Commerce,Commerce,70,1,77,Mkt&Fin,,2,3
JARVIS,8983559960,F,22,61,Others,7,Others,Commerce,Commerce,70,0,73,Mkt&Fin,,1,2
FRYE,8397856438,M,26,80,Others,68,Others,Commerce,MBA,60,1,81,Mkt&Fin,52,1,4
RIGGS,7264512551,M,24,37,Others,14,Central,Commerce,MBA,60,0,66,Mkt&Fin,83,0,4
CHANEY,9228010282,M,24,81,Others,85,Others,Commerce,MBA,70,1,52,Mkt&Fin,65,0,3
ODOM,6541706934,M,26,59,Others,15,Others,Commerce,MBA,70,0,69,Mkt&Fin,97,1,1
DUFFY,9173006719,F,21,55,Others,29,Others,Commerce,Commerce,60,0,65,Mkt&Fin,,0,3
FITZPATRICK,7657818666,M,24,72,Central,41,Central,Commerce,MBA,80,0,69,Mkt&Fin,69,0,1
VALENZUELA,7824968342,M,24,69,Central,18,Central,Commerce,MBA,70,0,50,Mkt&Fin,94,0,4
MERRILL,7912848862,M,26,69,Central,63,Central,Commerce,MBA,60,0,73,Mkt&Fin,40,1,2
MAYER,8233692133,M,21,50,Central,26,Central,Commerce,Commerce,70,0,70,Mkt&Fin,,0,4
ALFORD,7926044560,F,22,87,Others,11,Others,Commerce,Commerce,80,0,81,Mkt&Fin,,1,3
MCPHERSON,7851746264,F,26,71,Others,7,Others,Commerce,MBA,70,0,63,Mkt&Fin,72,1,5
ACEVEDO,6445399611,F,23,68,Central,22,Central,Commerce,Commerce,80,1,67,Mkt&Fin,,2,2
DONOVAN,7179493540,M,26,79,Central,61,Central,Commerce,MBA,80,0,60,Mkt&Fin,69,1,4
BARRERA,8968209138,M,24,77,Central,75,Central,Commerce,MBA,80,0,62,Mkt&Fin,62,0,5
ALBERT,6995116719,F,24,58,Others,51,Others,Commerce,MBA,60,0,29,Mkt&Fin,53,0,3
COTE,8719006503,M,27,84,Others,75,Others,Commerce,MBA,60,0,62,Mkt&Fin,92,2,3
REILLY,9061619053,M,27,55,Central,39,Others,Commerce,MBA,80,1,94,Mkt&Fin,58,2,1
COMPTON,8963110813,M,24,70,Others,74,Others,Commerce,MBA,70,0,85,Mkt&Fin,58,0,3
RAYMOND,8512213199,M,24,52,Others,79,Central,Commerce,MBA,70,1,77,Mkt&Fin,57,0,1
MOONEY,8977290621,M,24,69,Others,46,Others,Commerce,MBA,80,0,53,Mkt&Fin,55,0,5
MCGOWAN,9580401206,M,21,53,Others,1,Others,Commerce,Commerce,60,0,93,Mkt&Fin,,0,3
CRAFT,9314239430,M,24,48,Central,57,Central,Commerce,MBA,80,1,49,Mkt&Fin,46,0,1
CLEVELAND,8976955796,M,26,78,Others,42,Others,Commerce,MBA,70,0,73,Mkt&Fin,77,1,2
CLEMONS,9330325407,M,22,62,Central,36,Central,Commerce,Commerce,80,0,66,Mkt&Fin,,1,3
WYNN,9441483526,M,27,60,Others,53,Others,Commerce,MBA,80,0,77,Mkt&Fin,46,2,4
NIELSEN,8326589870,M,26,74,Others,61,Others,Commerce,MBA,70,0,49,Mkt&Fin,92,1,5
BAIRD,7728971313,F,22,58,Central,85,Central,Commerce,Commerce,60,0,79,Mkt&Fin,,1,2
STANTON,8198107605,M,21,76,Central,10,Central,Commerce,Commerce,80,0,75,Mkt&Fin,,0,5
SNIDER,6846530357,M,24,68,Others,20,Others,Commerce,MBA,80,1,59,Mkt&Fin,59,0,5
ROSALES,8642777461,M,23,58,Others,8,Others,Commerce,Commerce,60,0,57,Mkt&Fin,,2,1
BRIGHT,6988644903,M,26,52,Central,40,Others,Commerce,MBA,80,0,66,Mkt&Fin,65,1,3
WITT,6839922074,M,21,75,Central,11,Others,Commerce,Commerce,70,0,79,Mkt&Fin,,0,5
STUART,9521440857,M,27,52,Others,38,Others,Commerce,MBA,60,0,57,Mkt&Fin,54,2,1
HAYS,7652723873,F,26,62,Central,73,Central,Commerce,MBA,80,0,87,Mkt&Fin,88,1,3
HOLDEN,9470885713,M,27,66,Central,86,Others,Commerce,MBA,60,1,63,Mkt&Fin,58,2,3
RUTLEDGE,6502095878,F,21,49,Central,24,Others,Commerce,Commerce,60,0,59,Mkt&Fin,,0,4
KINNEY,8521062200,M,22,66,Central,16,Central,Commerce,Commerce,80,0,62,Mkt&Fin,,1,3
CLEMENTS,9464413496,M,24,35,Central,7,Central,Commerce,MBA,90,0,46,Mkt&Fin,54,0,1
CASTANEDA,8777394239,M,22,72,Others,78,Others,Commerce,Commerce,70,0,66,Mkt&Fin,,1,1
SLATER,8621874442,M,24,94,Others,71,Others,Commerce,MBA,90,0,89,Mkt&Fin,52,0,4
HAHN,6388048402,M,26,46,Others,27,Others,Commerce,MBA,80,0,42,Mkt&Fin,46,1,2
EMERSON,6541890372,F,26,77,Others,53,Others,Commerce,MBA,60,1,93,Mkt&Fin,54,1,3
CONRAD,7329610748,M,22,76,Others,13,Others,Commerce,Commerce,60,0,80,Mkt&Fin,,1,3
BURKS,6384051163,M,24,52,Others,49,Others,Commerce,MBA,80,0,98,Mkt&Fin,82,0,2
DELANEY,8366895883,M,24,91,Central,38,Central,Commerce,MBA,80,1,81,Mkt&Fin,72,0,5
PATE,7272353788,M,24,32,Central,72,Central,Commerce,MBA,80,0,60,Mkt&Fin,72,0,2
LANCASTER,7756835483,M,26,72,Others,68,Others,Commerce,MBA,80,0,76,Mkt&Fin,73,1,2
SWEET,6978741639,M,22,19,Others,6,Others,Commerce,Commerce,60,0,73,Mkt&Fin,,1,5
JUSTICE,7889565904,M,24,68,Others,42,Others,Commerce,MBA,70,0,96,Mkt&Fin,68,0,1
TYSON,9518081179,M,26,52,Central,68,Others,Commerce,MBA,90,0,76,Mkt&Fin,42,1,3
SHARPE,7555570165,M,24,48,Central,80,Central,Commerce,MBA,80,1,91,Mkt&Fin,91,0,2
WHITFIELD,6460374751,M,24,60,Central,41,Others,Commerce,MBA,70,0,62,Mkt&Fin,77,0,4
TALLEY,8352477745,M,23,66,Others,26,Central,Commerce,Commerce,80,1,55,Mkt&Fin,,2,4
MACIAS,8506916411,M,26,89,Others,5,Others,Commerce,MBA,80,0,74,Mkt&Fin,36,1,4
IRWIN,8387144995,M,26,42,Others,23,Others,Commerce,MBA,80,0,50,Mkt&Fin,80,1,2
BURRIS,8185331337,F,26,57,Central,26,Central,Commerce,MBA,70,0,47,Mkt&Fin,68,1,3
RATLIFF,8384422278,M,26,70,Others,10,Others,Commerce,MBA,90,1,81,Mkt&Fin,85,1,2
MCCRAY,7685022611,M,27,70,Others,91,Others,Commerce,MBA,80,0,65,Mkt&Fin,62,2,4
MADDEN,8507557706,M,21,69,Central,21,Central,Commerce,Commerce,90,0,68,Mkt&Fin,,0,3
KAUFMAN,7381187972,M,24,52,Others,88,Others,Commerce,MBA,60,0,73,Mkt&Fin,78,0,4
BEACH,6568209145,M,24,67,Central,60,Others,Commerce,MBA,90,0,53,Mkt&Fin,65,0,5
GOFF,7452621543,M,22,76,Others,27,Others,Commerce,Commerce,70,0,68,Mkt&Fin,,1,5
CASH,8514624936,M,24,87,Others,29,Others,Commerce,MBA,80,0,55,Mkt&Fin,92,0,4
BOLTON,6738088923,F,22,82,Central,72,Central,Commerce,Commerce,70,0,87,Mkt&Fin,,1,1
MCFADDEN,7554686110,M,26,73,Central,71,Central,Commerce,MBA,70,1,55,Mkt&Fin,87,1,2
LEVINE,6372802816,M,21,75,Others,7,Others,Commerce,Commerce,80,0,53,Mkt&Fin,,0,3
GOOD,9259377454,M,21,64,Others,22,Others,Commerce,Commerce,90,0,67,Mkt&Fin,,0,5
BYERS,9470633439,M,24,41,Central,30,Central,Commerce,MBA,70,0,92,Mkt&Fin,99,0,4
KIRKLAND,7064148485,M,24,90,Central,14,Central,Commerce,MBA,90,0,53,Mkt&Fin,47,0,4
KIDD,7361370523,F,22,59,Central,81,Central,Commerce,Commerce,80,0,81,Mkt&Fin,,1,1
WORKMAN,6947634889,M,26,51,Central,89,Central,Commerce,MBA,80,0,61,Mkt&Fin,73,1,2
CARNEY,6494438497,M,24,45,Central,4,Others,Commerce,MBA,70,0,80,Mkt&Fin,39,0,3
DALE,6689396021,M,24,54,Central,98,Central,Commerce,Commerce,70,0,37,Mkt&Fin,,3,3
MCLEOD,6847954246,M,26,87,Central,39,Others,Commerce,MBA,60,0,81,Mkt&Fin,64,1,1
HOLCOMB,9013844703,M,26,72,Central,86,Central,Commerce,MBA,80,0,59,Mkt&Fin,83,1,2
ENGLAND,8944123836,M,22,94,Central,27,Others,Commerce,Commerce,60,0,55,Mkt&Fin,,1,2
FINCH,7452573768,M,26,45,Others,42,Others,Commerce,MBA,70,0,72,Mkt&Fin,40,1,5
HEAD,7841185812,M,26,61,Central,10,Central,Commerce,MBA,70,0,69,Mkt&Fin,53,1,1
BURT,8812995008,M,24,60,Others,21,Others,Commerce,MBA,70,1,69,Mkt&Fin,35,0,2
HENDRIX,8370371883,M,26,77,Central,25,Central,Commerce,MBA,70,1,50,Mkt&Fin,70,1,1
SOSA,8618336048,M,21,85,Central,26,Others,Commerce,Commerce,80,0,87,Mkt&Fin,,0,2
HANEY,8999570567,F,26,78,Central,1,Others,Commerce,MBA,60,1,71,Mkt&Fin,72,1,1
FRANKS,7075148269,M,26,49,Others,96,Others,Commerce,MBA,60,0,68,Mkt&Fin,92,1,2
SARGENT,6501457210,M,24,71,Others,3,Others,Commerce,MBA,70,0,79,Mkt&Fin,55,0,1
NIEVES,6634195975,M,26,48,Central,97,Central,Commerce,MBA,60,0,77,Mkt&Fin,92,1,3
DOWNS,7292623005,M,26,62,Central,2,Others,Commerce,MBA,60,0,58,Mkt&Fin,94,1,1
RASMUSSEN,6444559538,M,24,56,Central,8,Central,Commerce,MBA,80,0,84,Mkt&Fin,99,0,1
BIRD,8791172672,M,24,65,Others,9,Others,Commerce,MBA,80,0,55,Mkt&Fin,65,0,1
HEWITT,6741560700,M,21,69,Others,93,Others,Commerce,Commerce,60,0,70,Mkt&Fin,,0,1
LINDSAY,7183965407,F,22,68,Others,44,Others,Commerce,Commerce,80,0,52,Mkt&Fin,,1,2
LE,8811909829,M,26,61,Central,45,Others,Commerce,MBA,80,0,69,Mkt&Fin,91,1,1
FOREMAN,8095512258,M,21,74,Others,96,Others,Commerce,Commerce,60,1,53,Mkt&Fin,,0,4
VALENCIA,9272417246,M,24,64,Central,49,Central,Commerce,MBA,60,0,48,Mkt&Fin,60,0,4
ONEIL,6906844893,M,22,77,Others,75,Others,Commerce,Commerce,60,0,78,Mkt&Fin,,1,5
DELACRUZ,6370290929,M,26,58,Central,84,Central,Commerce,MBA,60,0,62,Mkt&Fin,76,1,2
VINSON,7605970434,F,22,60,Central,92,Central,Commerce,Commerce,60,1,60,Mkt&Fin,,1,3
DEJESUS,6405821042,M,22,73,Others,17,Others,Commerce,Commerce,80,1,74,Mkt&Fin,,1,2
HYDE,9319409788,F,22,75,Central,11,Others,Commerce,Commerce,60,0,58,Mkt&Fin,,1,3
FORBES,7263406488,M,26,58,Central,26,Central,Commerce,MBA,60,1,76,Mkt&Fin,57,1,2
GILLIAM,7007165597,F,22,66,Others,36,Others,Commerce,Commerce,60,0,68,Mkt&Fin,,1,3
GUTHRIE,8154965045,M,24,39,Central,70,Central,Commerce,MBA,80,0,58,Mkt&Fin,75,0,4
WOOTEN,8648279355,M,24,64,Central,87,Central,Commerce,MBA,70,0,52,Mkt&Fin,96,0,2
HUBER,8303003245,F,27,23,Others,72,Others,Commerce,MBA,80,0,75,Mkt&Fin,47,2,4
BARLOW,8696952313,M,26,74,Others,79,Others,Commerce,MBA,80,0,52,Mkt&Fin,85,1,2
BOYLE,8537013980,M,26,40,Central,67,Central,Commerce,MBA,80,0,62,Mkt&Fin,50,1,1
MCMAHON,8069413463,M,24,90,Central,6,Others,Commerce,MBA,70,0,66,Mkt&Fin,99,0,4
BUCKNER,8659358217,F,21,91,Central,41,Others,Commerce,Commerce,60,0,49,Mkt&Fin,,0,1
ROCHA,9361077172,M,22,64,Others,61,Others,Commerce,Commerce,60,0,66,Mkt&Fin,,1,5
PUCKETT,8820894302,M,26,59,Others,53,Others,Commerce,MBA,60,0,35,Mkt&Fin,61,1,3
LANGLEY,8464599666,M,24,80,Central,8,Others,Commerce,MBA,80,0,72,Mkt&Fin,66,0,4
KNOWLES,8821007304,M,26,71,Central,59,Others,Commerce,MBA,70,1,94,Mkt&Fin,76,1,1
COOKE,7521783689,F,26,61,Central,91,Others,Commerce,MBA,70,1,46,Mkt&Fin,95,1,3
VELAZQUEZ,7627496776,M,21,87,Central,26,Central,Commerce,Commerce,70,0,77,Mkt&Fin,,0,1
WHITLEY,8985583664,F,27,82,Others,79,Central,Commerce,MBA,80,1,76,Mkt&HR,99,2,3
NOEL,6711222660,M,24,62,Others,80,Others,Science,MBA,80,0,52,Mkt&HR,97,0,5
VANG,8339963510,M,26,97,Central,15,Central,Commerce,MBA,80,0,91,Mkt&HR,90,1,4
SHEA,9255927982,M,24,75,Central,65,Others,Commerce,MBA,60,0,32,Mkt&HR,92,0,4
ROUSE,9482123821,M,24,65,Central,20,Central,Science,MBA,60,0,72,Mkt&HR,84,0,4
HARTLEY,6588503004,F,26,52,Central,40,Others,Science,MBA,80,1,19,Mkt&HR,58,1,4
MAYFIELD,7656456718,F,26,87,Others,63,Others,Commerce,MBA,80,0,68,Mkt&HR,36,1,5
ELDER,8041508383,M,26,53,Others,27,Others,Arts,MBA,80,0,52,Mkt&HR,36,1,3
RANKIN,9128052903,M,24,81,Others,84,Others,Science,MBA,80,0,48,Mkt&HR,44,0,1
HANNA,7603596276,M,21,39,Central,24,Others,Science,BBA,60,1,60,Mkt&HR,,0,1
COWAN,9088402280,M,26,71,Central,75,Central,Commerce,MBA,80,1,66,Mkt&HR,54,1,5
LUCERO,8494158562,M,26,97,Central,99,Central,Arts,MBA,80,1,89,Mkt&HR,90,1,3
ARROYO,6603751968,M,27,82,Central,23,Central,Arts,MBA,80,1,42,Mkt&HR,79,2,3
SLAUGHTER,6906807369,F,24,59,Central,70,Central,Science,MBA,80,0,57,Mkt&HR,66,0,2
HAAS,6585494452,M,26,61,Central,49,Central,Commerce,MBA,70,1,70,Mkt&HR,86,1,4
OCONNELL,7355348487,F,24,78,Others,5,Central,Science,MBA,80,1,70,Mkt&HR,92,0,1
MINOR,7262907160,M,21,49,Others,14,Others,Science,BBA,70,0,69,Mkt&HR,,0,2
KENDRICK,9538719166,M,24,59,Central,89,Others,Science,MBA,80,0,52,Mkt&HR,63,0,3
SHIRLEY,7888207567,F,24,70,Others,85,Others,Commerce,MBA,70,1,67,Mkt&HR,76,0,3
KENDALL,6961803667,M,26,82,Central,14,Central,Science,MBA,70,0,76,Mkt&HR,72,1,2
BOUCHER,8978754901,M,26,90,Central,42,Central,Commerce,MBA,60,1,87,Mkt&HR,88,1,1
ARCHER,7182319943,F,24,43,Others,61,Others,Science,MBA,60,0,82,Mkt&HR,47,0,5
BOGGS,9230036406,M,26,80,Central,54,Others,Commerce,MBA,80,0,73,Mkt&HR,70,1,2
ODELL,6927164788,M,24,81,Central,96,Central,Science,MBA,80,0,75,Mkt&HR,35,0,2
DOUGHERTY,8704741577,M,21,57,Others,67,Others,Commerce,BBA,60,1,64,Mkt&HR,,0,4
ANDERSEN,8461359937,M,22,59,Central,71,Others,Commerce,BBA,60,0,41,Mkt&HR,,1,3
NEWELL,8160778883,M,26,64,Others,17,Others,Science,MBA,70,0,90,Mkt&HR,65,1,1
CROWE,8929623885,M,21,63,Central,36,Central,Commerce,BBA,60,0,59,Mkt&HR,,0,1
WANG,9145153917,M,26,71,Central,94,Others,Commerce,MBA,80,0,51,Mkt&HR,87,1,4
FRIEDMAN,6694129945,M,26,64,Others,47,Others,Commerce,MBA,80,0,45,Mkt&HR,35,1,5
BLAND,9459130366,M,26,55,Others,71,Others,Science,MBA,60,1,54,Mkt&HR,57,1,4
SWAIN,9426493083,F,26,51,Central,19,Central,Commerce,MBA,80,0,87,Mkt&HR,35,1,1
HOLLEY,8677990552,M,24,62,Others,91,Others,Science,MBA,80,0,72,Mkt&HR,93,0,3
FELIX,8523790237,M,24,93,Others,96,Others,Commerce,MBA,60,0,94,Mkt&HR,35,0,4
PEARCE,7395758435,M,22,54,Others,0,Others,Commerce,BBA,60,0,45,Mkt&HR,,1,4
CHILDS,8850275490,M,24,69,Others,83,Others,Commerce,MBA,80,0,61,Mkt&HR,79,0,1
YARBROUGH,7141885180,F,24,44,Others,75,Others,Science,MBA,70,0,60,Mkt&HR,58,0,1
GALVAN,7693537593,M,24,86,Others,89,Others,Science,MBA,60,0,77,Mkt&HR,86,0,5
PROCTOR,7803009555,F,26,85,Others,17,Others,Science,MED,70,0,85,Teaching,,1,2
MEEKS,8438959675,M,26,50,Central,83,Others,Science,MED,80,0,78,Teaching,,1,3
LOZANO,9258630844,M,21,88,Central,18,Others,Science,BTECH,80,0,49,Teaching,92,2,5
MORA,9428645177,M,24,59,Others,98,Others,Science,MED,70,0,71,Teaching,,0,4
RANGEL,7648408907,M,21,32,Central,83,Central,Science,BTECH,70,0,48,Teaching,62,0,1
BACON,8525217947,M,21,36,Central,77,Others,Science,BTECH,80,0,62,Teaching,77,0,1
VILLANUEVA,6805850839,M,21,63,Central,9,Others,Science,BTECH,70,1,56,Teaching,53,0,4
SCHAEFER,6548499735,F,21,67,Others,18,Others,Science,BTECH,70,1,65,Teaching,40,0,5
ROSADO,8097154598,M,27,65,Central,68,Central,Science,MTECH,60,0,69,Technical,,2,1
HELMS,7379518398,F,24,85,Others,29,Others,Science,MTECH,80,0,68,Technical,,0,2
BOYCE,9502164365,M,24,73,Central,64,Central,Science,MED,70,0,61,Teaching,,0,1
GOSS,6697357605,M,21,34,Central,16,Central,Science,BTECH,80,0,74,Teaching,92,1,2
STINSON,8355196913,M,27,93,Central,79,Central,Science,MED,70,0,64,Teaching,,3,1
SMART,8345249279,M,21,67,Others,98,Others,Science,BTECH,60,0,77,Teaching,81,0,3
LAKE,8356924276,M,21,88,Central,13,Others,Science,BTECH,60,0,58,Teaching,67,0,1
IBARRA,6645761381,F,21,57,Others,48,Central,Science,BTECH,80,1,60,Teaching,75,1,5
HUTCHINS,8980223640,M,22,79,Others,77,Central,Science,BTECH,80,0,73,Teaching,82,0,5
COVINGTON,6401862284,M,24,67,Central,77,Central,Science,MED,60,1,75,Teaching,,0,2
REYNA,6794009048,F,22,70,Central,15,Central,Science,BTECH,60,1,58,Teaching,98,0,4
GREGG,8596162198,M,22,50,Others,39,Others,Science,BTECH,60,0,66,Teaching,84,1,5
WERNER,8451246924,M,21,69,Central,53,Central,Science,BTECH,60,1,39,Teaching,77,0,2
CROWLEY,7086179365,M,26,52,Others,15,Others,Science,MED,70,0,64,Teaching,,1,1
HATCHER,6803233941,M,26,47,Others,37,Others,Science,MED,80,0,23,Teaching,,1,3
MACKEY,7550592864,M,22,46,Central,54,Central,Science,BTECH,70,0,74,Teaching,81,0,1
,,,,,,,,,,,,,,,,
WOMACK,6411855137,M,24,100,Others,86,Others,Science,MED,70,0,90,Teaching,,0,1
POLK,7103084965,M,22,44,Central,24,Others,Science,BTECH,60,0,91,Teaching,93,1,3
JAMISON,7978192452,M,24,57,Central,68,Central,Science,MED,60,1,64,Teaching,,0,1
DODD,8208793298,M,24,91,Others,62,Others,Science,MED,80,0,59,Teaching,,0,2
CHILDRESS,8673964392,M,22,69,Others,70,Others,Science,BTECH,80,1,80,Teaching,81,2,3
CHILDERS,7884704662,M,22,35,Others,24,Others,Science,BTECH,70,0,71,Teaching,29,1,5
CAMP,8652912495,F,24,72,Central,36,Central,Science,MED,60,0,61,Teaching,,0,1
VILLA,6883502900,M,24,54,Central,25,Others,Science,MTECH,70,0,87,Technical,,0,2
DYE,7167704720,M,24,74,Central,30,Others,Science,MTECH,70,0,82,Technical,,0,5
SPRINGER,9171666348,M,26,74,Central,89,Central,Science,MTECH,70,0,62,Technical,,1,3
MAHONEY,9586568746,M,26,64,Others,38,Others,Science,MTECH,80,0,97,Technical,,1,4
DAILEY,8994863347,M,24,65,Others,89,Others,Science,BTECH,70,0,75,Technical,,2,5
BELCHER,6833021177,M,24,46,Others,78,Others,Science,BTECH,60,0,65,Technical,,2,2
LOCKHART,9561662263,M,23,48,Others,80,Others,Science,BTECH,60,0,52,Technical,,1,4
GRIGGS,9020733557,M,24,67,Central,6,Others,Arts,MCOM,80,0,87,Customer Service,,0,5
COSTA,8808061235,M,23,62,Others,3,Others,Science,BTECH,70,1,53,Technical,,1,4
CONNOR,9528059867,M,23,61,Central,67,Others,Science,BTECH,80,1,81,Technical,,1,3
BRANDT,9046311607,M,22,70,Central,73,Central,Science,BTECH,80,0,39,Technical,,0,4
WINTER,7213227974,M,24,98,Central,90,Central,Science,BTECH,70,0,71,Technical,,2,1
WALDEN,8667755070,F,22,70,Central,18,Central,Science,BTECH,60,0,97,Technical,,0,5
MOSER,9307994408,M,23,67,Others,38,Others,Science,BTECH,60,0,82,Technical,,1,4
TRACY,8592620136,M,22,57,Others,13,Others,Science,BTECH,60,0,59,Technical,,0,3
TATUM,6852357337,M,24,85,Central,16,Central,Science,BTECH,70,0,61,Technical,,2,3
MCCANN,7502246956,F,22,77,Central,26,Central,Science,BTECH,80,0,78,Technical,,0,5
AKERS,9346919366,M,22,72,Central,78,Central,Science,BTECH,60,0,49,Technical,,0,3
LUTZ,8288453670,F,23,78,Central,35,Central,Science,BTECH,60,0,59,Technical,,1,5
PRYOR,7165830943,M,23,81,Central,59,Central,Science,BTECH,70,0,70,Technical,,1,3
LAW,7936568437,M,23,61,Central,18,Others,Science,BTECH,60,0,82,Technical,,1,2
OROZCO,7492891373,M,22,58,Central,28,Central,Science,BTECH,80,0,90,Technical,,0,1
MCALLISTER,6886821367,M,24,54,Central,84,Central,Science,MED,80,0,43,Teaching,,0,3
LUGO,6481377806,M,21,82,Central,2,Central,Science,BTECH,60,1,80,Teaching,93,1,5
DAVIES,7028621901,M,22,49,Central,85,Central,Science,BTECH,70,0,81,Teaching,67,1,3
SHOEMAKER,8029738164,M,20,49,Central,58,Central,Science,BED,80,0,57,Teaching,,0,3
MADISON,8487318139,M,22,57,Central,49,Central,Science,BED,60,1,59,Teaching,78,2,2
RUTHERFORD,7120830185,M,21,94,Others,72,Others,Science,BED,80,0,64,Teaching,78,1,5
NEWSOME,7192874849,M,20,75,Others,41,Others,Science,BED,80,0,63,Teaching,29,0,3
MAGEE,7640193099,F,20,74,Others,78,Others,Science,BED,80,1,71,Teaching,,0,1
CHAMBERLAIN,7754379492,M,20,58,Others,50,Others,Science,BED,60,1,64,Teaching,75,0,1
BLANTON,8193863543,M,21,62,Others,52,Others,Science,BED,80,1,55,Teaching,67,1,4
SIMMS,8351734282,M,22,72,Others,44,Others,Science,BTECH,60,0,51,Technical,,0,3
GODFREY,7664623713,M,22,84,Others,1,Central,Science,BTECH,60,0,62,Technical,,0,1
FLANAGAN,9043643527,M,23,92,Others,74,Others,Science,BTECH,80,0,93,Technical,,1,1
CRUM,6609813115,M,22,45,Others,91,Others,Science,BTECH,60,1,54,Technical,,0,2
CORDOVA,8469124364,M,23,75,Others,81,Others,Science,BTECH,80,0,69,Technical,,1,5
ESCOBAR,8478730033,M,23,56,Central,95,Central,Science,BTECH,70,0,44,Technical,,1,3
DOWNING,8267999698,M,22,48,Central,41,Central,Science,BTECH,80,1,86,Technical,,0,4
SINCLAIR,6710109261,M,22,100,Central,64,Central,Science,BTECH,80,0,85,Technical,,0,5
DONAHUE,7084231394,F,23,65,Central,16,Central,Science,BTECH,70,1,50,Technical,,1,2
KRUEGER,8824181853,M,22,72,Others,2,Others,Science,BTECH,60,0,88,Technical,,0,2
MCGINNIS,9203236465,M,22,62,Others,93,Others,Science,BTECH,70,0,59,Technical,,0,3
GORE,7916746163,M,22,66,Central,41,Central,Science,BTECH,60,0,32,Technical,,0,1
FARRIS,8506296425,M,23,63,Central,57,Central,Science,BTECH,70,0,36,Technical,,1,2
WEBBER,6362346242,M,23,68,Central,91,Central,Science,BTECH,80,0,63,Technical,,1,4
CORBETT,7823879948,F,24,75,Others,8,Others,Science,BTECH,70,0,67,Technical,,2,1
ANDRADE,6772789030,M,25,89,Others,72,Others,Science,BTECH,80,0,65,Technical,,3,3
STARR,7918707906,M,22,78,Central,77,Others,Science,BTECH,70,0,85,Technical,,0,3
LYON,7156003065,F,23,53,Others,8,Others,Science,BTECH,60,1,73,Technical,,1,3
YODER,6873296014,M,23,49,Others,38,Central,Science,BTECH,70,0,34,Technical,,1,1
HASTINGS,8803957393,M,23,54,Others,41,Others,Science,BTECH,60,0,93,Technical,,1,1
MCGRATH,7957906403,M,22,64,Others,24,Others,Science,BTECH,80,0,67,Technical,,0,3
SPIVEY,8797359268,M,22,60,Central,42,Central,Science,BTECH,80,1,88,Technical,,0,3
KRAUSE,9004078987,M,23,62,Others,5,Others,Science,BTECH,80,1,57,Technical,,1,1
HARDEN,9080343250,M,22,55,Central,8,Central,Science,BTECH,60,0,79,Technical,,0,1
CRABTREE,7423215559,M,22,91,Others,42,Others,Science,BTECH,70,0,67,Technical,,0,5
KIRKPATRICK,7086763056,M,22,8,Others,96,Others,Science,BTECH,80,0,70,Technical,,0,3
HOLLIS,8749187097,M,22,81,Central,12,Central,Science,BTECH,70,0,50,Technical,,0,4
BRANDON,7559284311,M,22,79,Central,99,Central,Science,BTECH,60,1,69,Technical,,0,2
ARRINGTON,6638009098,M,21,78,Others,94,Others,Science,BTECH,70,0,52,Technical,, ,3
ERVIN,8962874435,M,24,74,Others,36,Others,Science,BTECH,70,0,47,Technical,,2,3
CLIFTON,7761787147,F,23,57,Central,78,Others,Science,BTECH,80,0,46,Technical,,1,3
RITTER,6555113097,M,22,40,Central,36,Others,Science,BTECH,60,0,68,Technical,,0,5
MCGHEE,9317945135,F,23,81,Others,24,Others,Science,BTECH,60,0,100,Technical,,1,4
BOLDEN,7423575021,M,22,44,Central,37,Central,Science,BTECH,70,0,44,Technical,,0,5
MALONEY,6644839034,M,22,67,Central,82,Others,Science,BTECH,80,0,57,Technical,,0,4
GAGNON,6896927566,M,24,86,Central,67,Others,Science,BTECH,60,0,91,Technical,,2,5
DUNBAR,7703459428,M,22,65,Central,90,Central,Science,BTECH,60,1,69,Technical,,0,4
PONCE,8474198616,M,22,55,Central,38,Central,Science,BTECH,80,0,35,Technical,,0,4
PIKE,7866243744,M,22,62,Others,94,Others,Science,BTECH,70,0,72,Technical,,0,2
MAYES,7249933405,M,21,63,Others,57,Others,Commerce,,70,0,54, ,8,1,1
